0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
+,217921,@,Pausado,07/01/2025 12:18 PM,14/01/2025 09:47 AM,NO,1020804163,,,,APLICACIONES APP SIMPLIFICA \ COADYUVANTE \,Dificultad cesion de registro,"Hace varias semanas llevo intentando realizar la cesión de registro del producto NATUR´L OIL - REGISTRO DE VENTA No. 6504, sin embargo al momento de seleccionar el producto nunca me aparece, y me sale el siguiente error, por favor ayudarme.",2880,2961,-81,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
+,218996,,Pausado,21/01/2025 11:48 AM,03/03/2025 11:51 AM,NO,analista.ensayosH&R,,,,APLICACIONES APP SIMPLIFICA \ PLAGUICIDAS \,SOLICITUD ENVÍO PROTOCOLO APROBADO PRUEBA DE EFICACIA PEXOLES 230 OD,"Cordial saludo. Mediante el presente, me permito solicitar amablemente el envío del protocolo aprobado por ICA de la prueba de eficacia del producto PEXOLES 230 OD en cultivo de arroz, con ID 89371 en Simplifica. Esta solicitud se debe a que el protocolo no fue enviado al correo electrónico registrado en Simplifica de la empresa SINO AGRI LEADING BIOSCIENCES COLOMBIA S.A.S. cuando fue aprobado en Simplifica. Esta solicitud se hace de manera urgente ya que es necesario el documento para el proceso de emisión de documentos como el Dictamen Técnico Ambiental ante ANLA y así continuar con el proceso de registro del producto mencionado. Agradezco su comprensión y colaboración. Quedo atento a comentarios.",2880,14683,-11803,
+,224164,,En Progreso,04/03/2025 08:15 AM,07/03/2025 09:36 AM,NO,mtorres,,,,APLICACIONES APP SIMPLIFICA \ PLAGUICIDAS \,Requerimiento ERGOSTIM (CARACTER TECONOLOGICO),"Buenos días, en la solicitud con ID 105920 nos llegan unos requerimientos dentro de los cuales uno de ellos nos indica lo siguiente ""El producto consta de 2 ingredientes activos, pero solo cargan 1. (verificar el nombre químico)"". Sin embargo, en la plataforma el sistema no nos permite registrar la información de los dos ingredientes activos. Es decir, (Acido folico y Acido N-acetil-tiazolidin-4-carboxilico (AATC) que son ingredientes activos ya registrados en el país pero que no se despliegan en la lista de opciones.",480,4880,-4400,
+,224487,@,Pausado,05/03/2025 04:06 PM,05/03/2025 04:06 PM,NO,ecoagrocaqueta,,,,APLICACIONES APP SIMPLIFICA \ COMERCIALIZACIÓN \,SOLICITUD CAMBIO DE CORREO ELECTRONICO,"al momento de realizar el registro en el simplifica se suministro el electrónico i.ldebrando5@hotmail, al cual no se pudo acceder, por lo que se hace necesario cambiar dicha dirección electrónica por el correo c.moralesabogado@outlook.com, pues no podemos activar la cuenta en simplifica y asignar una contraseña de ingreso a la plataforma. agradezco la ayuda y pronta respuesta",480,111,369,
+,224625,,Pausado,06/03/2025 02:43 PM,06/03/2025 02:43 PM,NO,Cristian Ocampo,,,,APLICACIONES APP SIMPLIFICA \ PLAGUICIDAS \,ID - 66853,Los cambios no pudieron ser guardados debido a que se generaron modificaciones que incrementan los costos de la operación. Por favor su ayuda. No puedo responden los requerimientos,480,159,321,
